Product,Image Url,Current Price,Original Price,discount
iBall Compbook i360 2 in 1 Laptop Intel Atom/2 GB/32 GB/(29.46 cm (11.6 inch)/Windows 10 Home,https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPIBALL-COMPBOSSD430706892DC11/a_0.jpg?imwidth=282&impolicy=hq,"13,995","14,99",-7%
Lenovo MIIX 320 (80XF00DBIN) Atom/2 GB/32 GB/25.654 cm (10.1 inch)/Windows 10/Integrated,https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-MIIX-ANIS70081033ABB6A3/a_0..jpg?imwidth=282&impolicy=hq,"18,200","20,999",-13%
Lenovo MIIX 320 (Atom X5 -Z8350 Quad Core /2 GB/32 GB SSD/10.1 FHD (25.65 cm)/Windows 10) (Platinum),https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-MIIX-NAVK49295CAABC451/a_0.png?imwidth=282&impolicy=hq,"18,990","21,490",-12%
Lenovo Yoga 310 (80U2002QIH) ( Intel  1.1GHz Pentium N4200 /  4GB / 1TB / 11.6 HD/  INTEGRATED GFX / Win10 / ADP Cover / Office) (BLACK),https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-YOGA-NAVK4929569D740BD/a_0.jpg?imwidth=282&impolicy=hq,"31,980","38,490",-17%
Lenovo Hybrid (2 in 1) Yoga 80U20024IH Celeron Dual Core/4 GB/500 GB/29.46 cm (11.6 inch)/Windows 10_LC,https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-HYBRILENO6911387387F565/a_0.jpg?imwidth=282&impolicy=hq,"33,400",33,0.5
"HP Pavilion x360 11-ad105tu 11.6-inch (29.464 cm) HD Laptop (Intel Pentium Silver N5000/4GB DDR4/1TB HDD/Win10/No DVD/Intel UHD Graphics 605), Natural Silver",https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPHP-PAVILION-MOBI352351709A987/a_0..jpeg?imwidth=282&impolicy=hq,"36,295","37,53",-3%
"Lenovo Yoga 510 Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) Yoga 510 2 in 1 Laptop  (35.56 cm (14 Inch), Black, 1.73 kg)",https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-YOGA-MAXX994866A410EB65/a_0.jpeg?imwidth=282&impolicy=hq,"38,990","45,990",-15%
HP Pavilion x360 - 11-ad031tu (Core i3 (7th Gen)/4 GB/29.46 cm (11.6)/Windows 10),https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPHP-PAVILION-MAXX9948663CBE7A90/a_0.png?imwidth=282&impolicy=hq,"40,990","47,990",-15%
Lenovo Yoga 520-14IKB U 81C800LVIN (Ci3-8130U/4GB/1TB/35.56 cm (14 Inch) FHD IPS TOUCH/Mnrl Grey/W10HSL/1Y),https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPLENOVO-YOGA-ACME9992511E9FED2F/a_0.jpg?imwidth=282&impolicy=hq,"41,880","48,890",-14%
"HP Pavilion x360 11-ad106tu 11.6-inch (29.464 cm) HD Laptop (8th Gen Intel i3-8130U/4GB DDR4/1TB HDD/Win10/No DVD/Intel UHD Graphics 605), Natural Silver",https://assetscdn1.paytm.com/images/catalog/product/L/LA/LAPHP-PAVILION-EBUY38725CE369D80/a_0.jpeg?imwidth=282&impolicy=hq,"42,949","45,47",-6%
